,location,date,Y
1,atlanta,03/06/21,79360.01332
2,atlanta,04/06/21,84903.39413
3,atlanta,05/06/21,116965.5997
4,atlanta,06/06/21,115300.809
5,atlanta,07/06/21,156516.0344
6,atlanta,08/06/21,130905.7
7,atlanta,09/06/21,138246.1323
8,atlanta,10/06/21,133032
9,atlanta,11/06/21,152298.2576
10,atlanta,12/06/21,183756.5358
11,atlanta,13/06/21,146077.8343
12,atlanta,14/06/21,166335.9211
13,atlanta,15/06/21,177084.2832
14,atlanta,16/06/21,167813.2125
15,atlanta,17/06/21,178300.7795
16,atlanta,18/06/21,175069.6669
17,atlanta,19/06/21,178116.3879
18,atlanta,20/06/21,157059.2977
19,atlanta,21/06/21,175212.5246
20,atlanta,22/06/21,157958.1543
21,atlanta,23/06/21,122904.3234
22,atlanta,24/06/21,116871.9601
23,atlanta,25/06/21,103909.5988
24,atlanta,26/06/21,108390.1043
25,atlanta,27/06/21,88127.06719
26,atlanta,28/06/21,79497.37226
27,atlanta,29/06/21,55506.70489
28,atlanta,30/06/21,32628.81218
29,atlanta,01/07/21,56158.52638
30,atlanta,02/07/21,74097.04746
31,atlanta,03/07/21,102159.4352
32,atlanta,04/07/21,101790.2249
33,atlanta,05/07/21,119560.875
34,atlanta,06/07/21,127351.03
35,atlanta,07/07/21,149145.7769
36,atlanta,08/07/21,156325.9476
37,atlanta,09/07/21,157179.1469
38,atlanta,10/07/21,204762.657
39,atlanta,11/07/21,171110.861
40,atlanta,12/07/21,181964.8538
41,atlanta,13/07/21,170808.5324
42,atlanta,14/07/21,196310.8965
43,atlanta,15/07/21,207257.5203
44,atlanta,16/07/21,179221.28
45,atlanta,17/07/21,226479.4704
46,atlanta,18/07/21,166393.5338
47,atlanta,19/07/21,200496.0652
48,atlanta,20/07/21,168730.7966
49,atlanta,21/07/21,152457.0265
50,atlanta,22/07/21,144886.9589
51,atlanta,23/07/21,151900.9793
52,atlanta,24/07/21,155197.5083
53,atlanta,25/07/21,113435.1238
54,atlanta,26/07/21,111372.3984
55,atlanta,27/07/21,90340.44053
56,atlanta,28/07/21,72238.12346
57,atlanta,29/07/21,59093.22697
58,atlanta,30/07/21,35375.87519
59,atlanta,31/07/21,16564.50886
60,atlanta,01/08/21,53301.45354
61,atlanta,02/08/21,72124.59925
62,atlanta,03/08/21,96381.96574
63,atlanta,04/08/21,114118.1607
64,atlanta,05/08/21,110429.7314
65,atlanta,06/08/21,146833.5777
66,atlanta,07/08/21,186425.5529
67,atlanta,08/08/21,152099.391
68,atlanta,09/08/21,199649.063
69,atlanta,10/08/21,182967.3891
70,atlanta,11/08/21,194353.9167
71,atlanta,12/08/21,178552.5875
72,atlanta,13/08/21,193354.3401
73,atlanta,14/08/21,218801.0195
