location,Y,date
atlanta,79360.01332,03/06/21
atlanta,84903.39413,04/06/21
atlanta,116965.5997,05/06/21
atlanta,115300.809,06/06/21
atlanta,156516.0344,07/06/21
atlanta,130905.7,08/06/21
atlanta,138246.1323,09/06/21
atlanta,133032,10/06/21
atlanta,152298.2576,11/06/21
atlanta,183756.5358,12/06/21
atlanta,146077.8343,13/06/21
atlanta,166335.9211,14/06/21
atlanta,177084.2832,15/06/21
atlanta,167813.2125,16/06/21
atlanta,178300.7795,17/06/21
atlanta,175069.6669,18/06/21
atlanta,178116.3879,19/06/21
atlanta,157059.2977,20/06/21
atlanta,175212.5246,21/06/21
atlanta,157958.1543,22/06/21
atlanta,122904.3234,23/06/21
atlanta,116871.9601,24/06/21
atlanta,103909.5988,25/06/21
atlanta,108390.1043,26/06/21
atlanta,88127.06719,27/06/21
atlanta,79497.37226,28/06/21
atlanta,55506.70489,29/06/21
atlanta,32628.81218,30/06/21
atlanta,56158.52638,01/07/21
atlanta,74097.04746,02/07/21
atlanta,102159.4352,03/07/21
atlanta,101790.2249,04/07/21
atlanta,119560.875,05/07/21
atlanta,127351.03,06/07/21
atlanta,149145.7769,07/07/21
atlanta,156325.9476,08/07/21
atlanta,157179.1469,09/07/21
atlanta,204762.657,10/07/21
atlanta,171110.861,11/07/21
atlanta,181964.8538,12/07/21
atlanta,170808.5324,13/07/21
atlanta,196310.8965,14/07/21
atlanta,207257.5203,15/07/21
atlanta,179221.28,16/07/21
atlanta,226479.4704,17/07/21
atlanta,166393.5338,18/07/21
atlanta,200496.0652,19/07/21
atlanta,168730.7966,20/07/21
atlanta,152457.0265,21/07/21
atlanta,144886.9589,22/07/21
atlanta,151900.9793,23/07/21
atlanta,155197.5083,24/07/21
atlanta,113435.1238,25/07/21
atlanta,111372.3984,26/07/21
atlanta,90340.44053,27/07/21
atlanta,72238.12346,28/07/21
atlanta,59093.22697,29/07/21
atlanta,35375.87519,30/07/21
atlanta,16564.50886,31/07/21
atlanta,53301.45354,01/08/21
